image,class,leaf_px,lesion_px,pct,severity
00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,potato_early_blight,39619,19,0.05,Saudavel
02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,potato_early_blight,34936,2883,8.25,Leve
065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,potato_early_blight,38977,3159,8.1,Leve
13cfb9dc-8951-44c0-8c16-e96fd6ccc659___RS_Early.B 7070.JPG,potato_early_blight,40591,11458,28.23,Moderada
1b4304a9-88c2-4c09-bfea-830fa162a35a___RS_Early.B 7188.JPG,potato_early_blight,40038,4858,12.13,Leve
1f80f111-6a3e-4dfc-8456-0f3e9a19ae10___RS_Early.B 6879.JPG,potato_early_blight,34165,1579,4.62,Saudavel
2639ad26-c7e9-4bd6-8000-c002f676a4c6___RS_Early.B 7150.JPG,potato_early_blight,38734,15374,39.69,Moderada
2771e005-3cb4-4e12-8868-80adca5ce02a___RS_Early.B 8640.JPG,potato_early_blight,41947,4631,11.04,Leve
2d344be7-2d5f-4d27-aeb2-b92c8191b877___RS_Early.B 7173.JPG,potato_early_blight,39016,10234,26.23,Moderada
33019904-ac3b-4083-a192-ce4092758ddd___RS_Early.B 8344.JPG,potato_early_blight,39108,4736,12.11,Leve
349730da-a627-4da6-90d5-707c4a3dba88___RS_Early.B 7553.JPG,potato_early_blight,36979,2204,5.96,Leve
40d1ccba-b047-4f89-b469-af79bc233524___RS_Early.B 7006.JPG,potato_early_blight,27216,4113,15.11,Leve
41cc6e70-9745-413d-b13d-c4775bcdfa7c___RS_Early.B 7610.JPG,potato_early_blight,36058,1134,3.14,Saudavel
43ddad18-d70a-49d3-97d6-9a5f82ddeecd___RS_Early.B 9069.JPG,potato_early_blight,35670,12606,35.34,Moderada
454203b9-0376-4db3-92ed-047545daa7c6___RS_Early.B 6953.JPG,potato_early_blight,42157,37471,88.88,Grave
4ab9d59b-57ee-4e22-a6bb-d8152710fd28___RS_Early.B 6857.JPG,potato_early_blight,38222,2187,5.72,Leve
4d5d6c62-61d8-45a3-aada-3ee8bc44e1d5___RS_Early.B 6685.JPG,potato_early_blight,36083,35458,98.27,Grave
4da46a9d-7709-4528-acc3-a7be6ace3714___RS_Early.B 7187.JPG,potato_early_blight,39283,4161,10.59,Leve
4f71ba26-6612-427b-8dc0-4d8cc909f1fa___RS_Early.B 7122.JPG,potato_early_blight,34009,7077,20.81,Moderada
51d521bb-5800-4f46-8fd0-f6cb09f37989___RS_Early.B 7572.JPG,potato_early_blight,35116,33558,95.56,Grave
51e028c1-7aec-46e9-a389-391bc38b46f3___RS_Early.B 8505.JPG,potato_early_blight,35511,12862,36.22,Moderada
541b768f-ec74-4f60-8e5a-778a5eb359da___RS_Early.B 8647.JPG,potato_early_blight,38976,5146,13.2,Leve
6b8024be-e45f-459f-9817-8d6fb0dda89a___RS_Early.B 6904.JPG,potato_early_blight,38400,5827,15.17,Leve
6fdee580-fa84-4ea7-b54a-048919765284___RS_Early.B 8187.JPG,potato_early_blight,37987,11209,29.51,Moderada
72013507-bfce-4b7a-b56e-f66a94cb4558___RS_Early.B 7930.JPG,potato_early_blight,39041,15718,40.26,Moderada
7486e823-64f7-4e43-ab51-26261b077fc2___RS_Early.B 6785.JPG,potato_early_blight,35541,29498,83.0,Grave
7584a5b8-b701-4255-9dde-a60b6442cc37___RS_Early.B 9154.JPG,potato_early_blight,39632,6779,17.1,Leve
7c0e4eed-d8e2-410f-a7bf-9f5a1c4a566d___RS_Early.B 8042.JPG,potato_early_blight,38443,15767,41.01,Moderada
811eba3a-112e-43dd-8b22-57f3cde4c504___RS_Early.B 7983.JPG,potato_early_blight,41840,5594,13.37,Leve
853f6d7a-836c-4829-ba2c-2eeada2089cc___RS_Early.B 7208.JPG,potato_early_blight,41235,3094,7.5,Leve
8994b76b-6e1e-42d3-b07c-99abca3fa35b___RS_Early.B 7762.JPG,potato_early_blight,38976,9005,23.1,Moderada
8b20db6d-9c57-46d7-b40d-c6a809b49e07___RS_Early.B 9127.JPG,potato_early_blight,38677,38169,98.69,Grave
97c1fe0d-72f6-421d-bb82-542f0766176c___RS_Early.B 7448.JPG,potato_early_blight,35957,3116,8.67,Leve
a50c5f93-a5db-4eaf-9d82-2e420d2351e7___RS_Early.B 7060.JPG,potato_early_blight,41001,6229,15.19,Leve
a6995958-6344-4d37-9b99-d3bc3d40ab67___RS_Early.B 7210.JPG,potato_early_blight,35255,2712,7.69,Leve
a6dbc59a-ca8a-40e0-a896-3e2270d771bb___RS_Early.B 7195.JPG,potato_early_blight,38104,3694,9.69,Leve
a801f66c-b8bc-42e5-ad5b-99f68d219fa9___RS_Early.B 8552.JPG,potato_early_blight,39300,4930,12.54,Leve
a9659799-4093-4d84-855e-2f4382729c01___RS_Early.B 8784.JPG,potato_early_blight,37683,6720,17.83,Leve
ad8c76f3-16b3-4d7f-a9e9-cbec8c398d34___RS_Early.B 6694.JPG,potato_early_blight,37795,37643,99.6,Grave
b2e6d502-8a02-4493-ae91-34bad50b6040___RS_Early.B 7537.JPG,potato_early_blight,34757,4186,12.04,Leve
bac19c19-ab8b-466a-a317-56c1f35fb082___RS_Early.B 7141.JPG,potato_early_blight,34522,6076,17.6,Leve
c82e587c-a0f2-451e-9057-e3719a3d9562___RS_Early.B 6824.JPG,potato_early_blight,31264,5554,17.76,Leve
d036af36-99a4-4b25-aa40-2477883e73cf___RS_Early.B 8269.JPG,potato_early_blight,37264,28175,75.61,Grave
d03ee4f8-b77d-4f0f-8d13-d0a019a37a66___RS_Early.B 6970.JPG,potato_early_blight,40930,36346,88.8,Grave
d50dde4d-fe2f-4e8c-b336-69be71e34ce8___RS_Early.B 6905.JPG,potato_early_blight,30831,4638,15.04,Leve
d5c51ec6-506e-4b85-b774-66f6a5493c90___RS_Early.B 7071.JPG,potato_early_blight,44332,12631,28.49,Moderada
d6ffc732-27cc-4391-9820-be9d386fb245___RS_Early.B 7032.JPG,potato_early_blight,34463,25818,74.92,Grave
e57ca76e-a4c3-40f2-a673-9f48b3b357ae___RS_Early.B 7539.JPG,potato_early_blight,34615,3924,11.34,Leve
e9f9e200-b7ff-4a59-af32-b4faf3f27b17___RS_Early.B 8028.JPG,potato_early_blight,40055,37792,94.35,Grave
f5ec7cce-c3cc-4b4a-b716-d70175b1dcd2___RS_Early.B 7520.JPG,potato_early_blight,40578,9435,23.25,Moderada
0be9d721-82f5-42c3-b535-7494afe01dbe___RS_HL 1814.JPG,potato_healthy,36313,199,0.55,Saudavel
0f4ebc5a-d646-436a-919d-961342997cde___RS_HL 4183.JPG,potato_healthy,36940,714,1.93,Saudavel
1106c3fc-92cb-41a6-a6c6-8f08b9b45108___RS_HL 1914.JPG,potato_healthy,41360,4928,11.91,Leve
144d2475-21ab-4bdc-a67c-9672a9b711e6___RS_HL 5376.JPG,potato_healthy,33571,223,0.66,Saudavel
1a1184f8-c414-4ead-a4c4-41ae78e29a82___RS_HL 1971.JPG,potato_healthy,36112,187,0.52,Saudavel
1f9870b3-899e-46fb-98c9-cfc2ce92895b___RS_HL 1816.JPG,potato_healthy,35999,246,0.68,Saudavel
20ac28d6-5708-4e31-8676-1b1979de094f___RS_HL 1735.JPG,potato_healthy,35777,125,0.35,Saudavel
30126310-39de-4c02-b10a-23409417a4f6___RS_HL 1826.JPG,potato_healthy,31072,1093,3.52,Saudavel
30937333-8898-4634-8c00-af57d3020ba6___RS_HL 1922.JPG,potato_healthy,31135,846,2.72,Saudavel
