category,image,region,channel,n,mean,median,std,p10,p50,p90
potato_early_blight,00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,leaf,H,39619,79.15699538100407,81.0,10.35565274976186,69.0,81.0,86.0
potato_early_blight,00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,leaf,S,39619,66.70317272015951,65.0,16.424408917482435,51.0,65.0,86.0
potato_early_blight,00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,leaf,V,39619,115.6373457179636,119.0,22.88361850853605,82.0,119.0,142.0
potato_early_blight,00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,lesion_proxy,H,4717,87.67670129319482,87.0,21.064786792823693,85.0,87.0,92.0
potato_early_blight,00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,lesion_proxy,S,4717,50.839728641085436,56.0,18.22921237388025,18.0,56.0,68.0
potato_early_blight,00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,lesion_proxy,V,4717,121.69705321178715,124.0,22.601768946623768,100.0,124.0,146.0
potato_early_blight,02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,leaf,H,34229,45.90496362733355,48.0,10.3867791252982,37.0,48.0,53.0
potato_early_blight,02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,leaf,S,34229,88.3747991469222,77.0,40.96394342602967,52.0,77.0,138.0
potato_early_blight,02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,leaf,V,34229,129.58871132665283,138.0,33.060416577752086,81.0,138.0,164.0
potato_early_blight,02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,lesion_proxy,H,3333,25.63846384638464,23.0,21.234940474372962,9.0,23.0,43.0
potato_early_blight,02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,lesion_proxy,S,3333,75.14431443144315,58.0,53.87117119328404,34.0,58.0,185.0
