region,category,channel,images,pixels,mean,median,std,p10,p50,p90
leaf,potato_early_blight,H,20,595710,44.96,46.15,6.86,38.25,46.15,50.9
leaf,potato_early_blight,S,20,595710,97.71,91.68,31.12,65.24,91.68,139.85
leaf,potato_early_blight,V,20,595710,136.47,141.5,26.74,99.4,141.5,165.5
leaf,potato_late_blight,H,20,441052,45.98,46.55,5.2,39.1,46.55,51.9
leaf,potato_late_blight,S,20,441052,101.79,97.0,32.54,64.25,97.0,146.5
leaf,potato_late_blight,V,20,441052,110.98,112.65,23.61,78.6,112.65,140.15
leaf,tomato_early_blight,H,20,396699,54.82,55.6,9.41,43.12,55.6,65.96
leaf,tomato_early_blight,S,20,396699,95.65,90.3,31.93,60.75,90.3,140.2
leaf,tomato_early_blight,V,20,396699,95.41,96.45,26.08,60.15,96.45,128.5
leaf,tomato_late_blight,H,19,260436,46.3,46.74,4.96,39.74,46.74,52.16
leaf,tomato_late_blight,S,19,260436,110.78,108.74,29.54,75.18,108.74,149.47
leaf,tomato_late_blight,V,19,260436,117.6,119.37,25.53,83.37,119.37,148.84
lesion_proxy,potato_early_blight,H,19,49347,29.09,29.11,9.85,18.95,29.11,37.79
lesion_proxy,potato_early_blight,S,19,49347,83.05,78.58,28.24,52.85,78.58,118.45
lesion_proxy,potato_early_blight,V,19,49347,122.97,125.34,30.38,84.04,125.34,158.97
lesion_proxy,potato_late_blight,H,20,8536,34.85,35.55,5.56,27.4,35.55,41.12
lesion_proxy,potato_late_blight,S,20,8536,99.29,97.4,34.6,58.42,97.4,144.07
lesion_proxy,potato_late_blight,V,20,8536,98.09,95.58,27.44,67.31,95.58,132.12
lesion_proxy,tomato_early_blight,H,19,21294,45.33,47.18,18.13,24.26,47.18,59.5
lesion_proxy,tomato_early_blight,S,19,21294,106.13,107.82,45.11,45.43,107.82,163.79
lesion_proxy,tomato_early_blight,V,19,21294,68.69,61.39,31.25,38.05,61.39,114.08
lesion_proxy,tomato_late_blight,H,17,4359,37.09,36.76,6.2,31.86,36.76,42.5
lesion_proxy,tomato_late_blight,S,17,4359,112.16,112.18,38.41,69.14,112.18,164.05
lesion_proxy,tomato_late_blight,V,17,4359,94.08,91.53,29.24,59.28,91.53,128.02
